1975,924,12500
1975,924,12500
1977,1426,52995
1975,1008,9000
1986,947,15000
1975,910,10000
1980,896,3000
1986,1227,89900
1977,1338,40000
1980,896,17000
1975,938,20000
1982,980,7000
1982,980,7000
1972,840,27500
1977,960,37000
1969,1120,9000
1976,840,12500
1972,840,3500
1984,924,14000
1974,1335,37500
1973,1416,20000
1980,1435,47000
1968,756,2500
1970,800,27500
1969,757,24000
1971,1338,38500
1982,1243,82000
1981,1080,50000
1974,844,3000
1974,1430,15000
1970,761,6000
1976,784,25000
1981,1432,60500
1976,1500,52000
1973,924,4000
1974,945,5000
1968,728,20000
1975,767,4000
1978,1240,32500
1977,910,6500
1959,400,1800
1978,1242,16000
1976,924,25000
1974,854,2500
1979,1791,10000
1974,896,2000
1981,917,27000
1985,784,50000
1966,552,12000
1968,672,12000
1969,800,18000
1978,1336,50000
1984,784,9000
1984,784,9000
1974,1344,32000
1981,1424,50000
1976,840,18000
1979,728,10000
1978,1524,95000
1979,1147,36000
1970,1000,20000
1982,1536,87000
1980,1428,98500
1974,1056,22000
1985,1248,89000
1983,1364,86000
1968,1080,40000
1977,1050,38000
1986,1359,55000
1974,924,23000
1976,1008,30000
1976,1152,35000
1979,1500,98500
1985,1282,37500
1985,1759,70000
1980,924,35000
1963,579,4000
1977,1579,38000
1984,1622,86000
1971,1344,35000
1977,756,25000
1977,756,25000
1972,672,20000
1973,968,35000
1975,840,24000
1979,924,2500
1971,928,18000
1970,761,13900
1974,840,17500
1979,1340,72000
1974,840,12500
1970,883,27500
1982,924,8000
1964,540,2500
1967,778,18000
1974,784,2500
1973,882,7000
1969,1296,57000
1966,510,8000
1966,520,5700
1982,1028,70000
1982,1028,20000
1971,672,6000
1973,784,23000
1973,1338,40000
1975,924,31500
1971,1205,35000
1971,1380,52000
1971,1008,38000
1975,1436,47900
1973,1169,5600
1980,1440,92500
1973,1189,20000
1974,1001,30000
1968,760,10000
1970,1344,39900
1970,811,3500
1967,672,25000
1964,588,24000
1969,822,25000
1984,1560,90000
1981,863,18000
1973,672,26000
1984,1256,80000
1985,1508,60000
1985,1390,89900
1985,1587,89900
1986,1288,85000
1983,790,28500
1985,1296,25000
1986,1512,77000
1978,1432,13000
1986,1398,30000
1986,1507,97000
1988,1782,60000
1981,1152,84000
1986,1292,89500
1986,1598,110000
1988,1647,45000
1987,1505,91450
1988,1188,50000
1990,1494,40000
1987,1733,7000
1988,1299,85000
1988,1160,95500
1989,1160,89000
1986,1800,60000
1989,1248,34500
1989,1248,34500
1989,1506,65000
1989,924,5000
1988,1188,135000
1989,1080,20000
1987,1505,77500
1989,1280,99500
1988,924,15000
1974,938,9900
1989,1486,87357
1990,924,35000
1989,1387,77000
1989,1560,80000
1990,784,24000
1990,1506,29000
1990,700,3000
1993,1116,64800
1989,1477,90000
1990,1085,29000
1991,1574,84900
1992,1632,84500
1992,1404,80000
1990,734,21000
1991,1638,31000
1991,1482,85400
1990,1508,120000
1991,1447,90000
1991,790,32500
1991,1731,75000
1991,1813,55000
1980,1008,6000
1992,924,13000
1991,1580,56000
1985,1107,8000
1979,1274,27000
1992,924,17000
1993,1296,32000
1992,1597,72000
1993,1637,50000
1993,1512,75000
1993,728,20000
1993,1104,22560
1994,1856,149900
1995,1620,90000
1993,1309,107000
1996,1870,54168
1996,1620,42000
1993,1346,79500
1994,1400,88250
1995,1471,127500
1993,1344,60000
1995,1610,79000
1994,2667,188000
1995,728,16764
1995,1296,35000
1994,1188,25000
1994,1296,30000
1996,1168,23500
1994,1562,126500
1995,1188,72000
1996,1346,34641
1996,1080,27000
1995,1508,55000
1995,924,29000
1996,1296,74450
1995,1132,70000
1996,1418,139900
1996,1539,139900
1997,1512,65000
1997,917,31400
1998,1782,72500
1998,1620,35315
1998,1340,79000
1996,1290,79355
1998,1294,80000
1997,1691,90000
1999,1404,101000
1998,2002,104900
1998,1758,137000
1998,2002,82600
1998,1291,85000
1999,1500,80900
1998,1188,80000
1999,1813,130500
1999,1200,77000
1999,784,38900
1999,1771,164900
1992,938,7000
1992,938,7000
2000,1120,34103
1998,1624,136501
1999,1404,85000
1999,1436,153000
2000,734,29500
2000,1404,80000
1998,1482,147400
1997,1533,135000
2003,1060,66500
1996,1344,30000
1991,1296,80500
1975,924,2000
1975,924,2000
2004,1395,88000
2004,1217,79000
2004,1404,73000
1988,1511,39000
2004,1539,135000
2005,1596,145000
2005,1188,108000
2006,1752,165000
2006,1456,53000
2006,1782,79000
2006,1404,147900
1970,960,11300
1979,1440,39500
1979,1608,61000
2006,1836,92200
1980,784,2000
2007,1038,69000
2008,1512,89900
2006,1404,96000
1999,1112,30000
2003,784,14900
1999,1100,42500
2012,1484,154900
1984,924,15000
2004,1280,147000
2014,780,55000
1999,1392,101000
1999,1188,92000
2015,870,40000
1991,1344,45995
1996,715,23000
1993,1296,104000
1994,1476,123900
