1950,960,222495
1950,696,248983
1950,839,200160
1950,905,249748
1950,905,230802
1950,960,249442
1952,1698,261503
1951,768,224138
1951,1656,286961
1950,1480,244080
1950,1164,271092
1940,1477,239775
1952,1359,236998
1951,1714,262728
1970,2600,429098
1950,1384,386082
1942,1004,239873
1926,2980,475260
1902,2176,316880
1949,2571,446675
1956,2212,388859
1954,4340,419862
1910,1666,327763
1937,1874,382158
1920,1731,282043
1920,1296,279180
1930,1960,373693
1921,2001,355950
1921,1903,269505
1937,3848,565163
1923,3184,589380
1946,1798,284316
1911,1644,337435
1928,2109,329395
1939,849,247146
1943,1737,256973
1902,2190,366120
1930,680,263489
1938,2894,469125
1970,1762,305453
1941,1150,273135
1928,1284,323033
1940,2290,420400
1924,1523,369985
1901,768,297113
1940,1824,443412
1910,2052,396720
1920,1240,292422
2004,1134,373240
1955,1808,368663
1947,952,285165
1950,2452,427200
1950,1448,320030
1971,1763,314253
1955,2964,551775
1943,2014,331080
1943,1784,336420
1943,1754,334180
1943,2470,370088
1943,1690,319580
1943,1850,223046
1942,2336,365472
1943,2378,312778
1942,2132,328050
1943,2096,317678
1943,2236,418759
1942,2144,299040
1950,2118,317568
1941,1660,338985
1949,2144,413250
1941,1820,325440
1941,1854,336350
1945,2238,293985
1947,2552,432225
1915,2600,433825
1931,1736,334218
1940,1824,359171
1914,1648,304574
1932,4224,651593
1942,2124,286688
2005,1368,250740
2005,1368,267000
2005,1368,255398
2005,1273,253460
2005,1368,267923
2005,1368,271050
2005,1504,257495
2005,1504,259578
2005,1504,254054
2005,1504,255350
2005,1504,255664
2005,1504,255413
2005,1504,252273
1925,1248,289551
1940,2368,339040
1920,602,222425
1946,2172,427425
1910,1090,238700
1942,1694,339473
1950,912,285273
1930,2016,309374
1950,3714,555258
1925,1697,297758
1928,1736,330983
1931,1560,320569
1915,2124,446748
1930,1380,255340
1941,1845,311186
1936,869,269113
1936,1927,297113
1939,1200,286065
1960,1360,299719
1920,2428,294930
1920,2428,294930
1940,832,273420
2002,616,203459
1936,1964,289025
1920,1647,264875
1950,1332,253330
1931,1392,257284
1948,1760,273287
1942,736,239775
1941,2502,315270
1955,1200,253607
1940,1874,295331
1946,1450,242213
2005,1668,291363
1945,2850,479550
1941,2002,276078
1920,1208,174335
1951,713,241730
1977,2258,303800
1942,863,186900
1942,863,221610
1965,1604,277573
2006,1704,290496
1972,2000,283770
1950,2038,252978
1918,1385,258456
1936,1210,242440
1941,2016,289025
1976,1740,280768
1940,2358,331237
1924,1452,252135
1916,1824,299198
1975,1560,282100
1940,914,231854
1935,1052,187078
1916,1196,253328
1920,1122,205100
1945,660,198648
1936,896,240570
1940,1320,257168
1940,1968,270008
1968,1560,305512
1944,1288,261699
2001,1102,251396
1955,864,237820
1945,882,239103
1942,2408,286935
,0,77140
1926,1728,278814
1948,734,241955
1941,1334,259689
1928,1856,233090
1914,1104,221870
1935,2068,276782
1975,1560,271188
1929,1540,277338
1942,1345,265717
1912,1032,264875
1910,1500,249679
1925,900,234960
1930,1498,324737
1972,1560,267908
1920,843,209918
1930,738,203870
1937,777,211467
1974,1560,299040
1996,1584,313197
,0,74760
1978,1560,300713
1915,1108,251117
1910,1351,224280
1939,1400,243063
1910,1096,279178
2016,1504,280768
1942,940,242040
1977,1480,308652
1938,930,250980
1920,1464,256320
1930,600,213600
1943,1116,270948
1943,720,233171
1943,720,196008
1943,984,246030
1943,840,248115
1943,976,240012
1943,720,221883
1943,952,236475
1977,906,101460
1977,906,132438
1965,1536,263403
1943,1140,198250
1956,744,176488
1964,1040,247083
1965,1240,268131
1963,990,265825
1997,850,104250
1997,1462,180492
1997,1462,209768
1997,1462,153090
1963,1040,243685
1965,1056,278869
1965,1066,269125
1981,1504,177225
1981,1504,197554
1985,1114,180115
1985,835,148330
1985,805,153567
1985,953,159495
1985,817,153522
1985,816,148330
1948,2028,302523
1947,1687,268005
1942,1070,256375
1943,1299,255151
1951,720,242440
1949,720,245804
1951,1052,231420
1949,1030,241730
1946,884,258230
1946,884,250412
1946,1838,284270
1946,1028,244904
1946,884,233275
1928,2280,260253
1950,1156,283770
2017,1222,287037
1942,1113,267000
1940,728,223740
1947,2090,250138
1972,1674,307891
1969,1040,238995
1952,1540,261061
1991,882,203459
1955,1058,240834
1955,1058,243632
1954,1116,266880
1955,1320,254142
1955,960,270173
1956,1086,273646
1956,1086,239775
1972,1584,255350
1998,1491,201852
1998,1491,193889
1998,1491,199153
1998,1491,193230
2006,1182,202024
2006,1519,211628
2006,1519,216892
2006,1519,203870
2006,1519,223510
2006,2258,286349
2009,1280,260400
1941,768,220710
1958,1320,233624
1928,1680,234563
1954,1236,280433
1954,920,239775
2016,1697,330525
2014,1862.5,304790
2014,1749,291363
2014,1862.5,299040
1948,1440,298155
1945,946,286794
1945,660,220400
1945,946,223758
2001,987,339098
2001,987,330925
2001,790,226913
2001,1374,325740
2001,1367,333518
2001,1345,336242
2001,789,255869
2001,1359,315300
2001,1077,323175
2001,1073,328388
2001,1358,247950
2001,1480,384480
2001,1523,375936
2001,1364,331797
1904,3075,521885
2007,2520,582060
1948,958,222425
1963,2466,382158
1910,1080,230020
1915,711,205996
1947,1044,268681
1950,1796,238733
1958,957,199470
1940,760,215300
1918,2195,386718
1952,2876,487900
1951,1168,271250
1910,2308,443063
1941,914,221981
1910,1257,191282
1930,2200,350998
2017,1196,293229
1945,1069,238388
1975,1656,284081
1973,1224,253330
1950,3764,455575
1910,1128,292465
1956,1320,260625
1975,1656,284081
1998,3009,581905
1946,2039,412902
1972,1236,244017
1972,913,174098
1972,1093,267995
1972,906,211970
1972,1093,253233
1972,900,158925
1972,1128,268538
1978,1252,282282
1978,1668,500084
2003,2241,1051476
2003,2052,954800
2003,1660,635625
2006,2391,990375
2007,2317,1049760
2007,2912,1251000
1945,754,195444
1993,1780,280617
1994,1688,788250
1996,1177,310045
1996,1064,344480
1996,1304,327763
1996,1697,458234
1996,1299,459270
1996,1299,440965
1996,1319,318190
1996,741,258456
1996,1055,366191
1996,1070,280768
1996,796,312635
1998,1551,802413
1998,1551,735175
1941,2272,291363
1941,1850,326744
1943,1880,315195
1943,720,220683
1951,948,275366
1942,2186,277338
1962,1420,308450
1966,1616,338708
1964,2868,482073
1910,2640,326326
1935,1200,261697
1930,738,250572
1942,1131,286349
1942,1872,314070
1942,960,244125
1942,696,224138
1942,696,233808
1942,2349,463752
1978,2752,494257
1942,968,204945
1942,2156,333600
1942,696,173230
1942,840,235424
1942,936,231876
1942,1200,275470
1942,2099,288360
1942,878,245640
1942,1200,237096
1942,696,186789
1942,936,253116
1942,1942,294541
1942,1751,327763
1942,896,232984
1942,1648,274508
1969,2860,422355
1977,2040,488430
1966,1757,304380
1966,1757,310963
1996,3090,487113
1938,840,252599
1938,3586,451220
1950,2740,446748
1947,1432,233910
1960,2208,338312
1960,1370,323148
1960,2986,411046
1971,1924,376123
1959,2798,472207
1950,4523,676830
1951,2832,518088
1959,2808,455158
1983,2506,405533
1940,2970,748168
1950,1168,269125
1950,1178,277680
1950,1050,263378
1951,796,262750
1954,960,259583
1957,1056,256375
1958,3876,489975
1958,2948,383918
1959,1125,236891
1957,1294,289704
1957,4376,677625
1966,1537,327474
1957,2172,369170
1959,3352,388273
1958,1066,283020
1958,1037,287140
1956,2292,279675
1964,1056,259578
1958,1560,286065
1964,2847,367689
1958,1104,267908
1963,2094,311648
1958,2692,382158
1963,1056,276263
1964,1376,302163
1963,1259,300029
1964,1050,267000
1960,1050,289025
1960,1050,236196
1960,1200,248160
1965,2350,348195
1960,1274,242040
1958,1248,320355
1959,1028,272874
1963,1721,311711
1961,936,259597
1959,1018,306089
1959,1028,267253
1959,1110,276263
1959,1326,279782
1961,1191,291030
1962,2076,310727
1968,1410,349863
1966,1944,430882
1968,2513,417000
1964,1200,289778
1965,2782,330525
1964,1372,267000
1965,1632,346457
1968,1512,370719
1964,2600,404635
1964,1695,356712
1967,2357,383234
1967,2916,497368
1963,2084,491505
1986,2715,588023
1964,1912,330525
1964,1912,304790
1969,3640,479038
1967,1496,327763
1967,1486,293482
1962,1536,308660
1961,1834,345780
1965,1531,286794
1992,2091,385725
2000,3722,809270
1950,792,231763
1955,1152,280768
1950,1332,291257
1950,773,247083
1950,1097,236930
1950,856,253330
1950,812,219298
1951,1406,244988
1950,2360,543524
1953,1390,306625
1950,1746,356343
1968,1974,487664
2006,4351,741650
1979,2478,398358
1952,988,262440
1976,1123,204945
1976,1123,165282
1981,1748.3,480810
1992,2282,635855
1954,960,256375
1954,1176,264819
1965,2592,363475
1955,1058,294280
1955,1040,274411
1955,1250,290923
1957,1258,254975
1958,2295,492919
1955,960,256320
1949,1122,253330
1958,2923,387750
1955,2340,304083
1955,2340,355245
1990,1083,299460
1962,2160,297113
1941,3738,646295
1961,2922,534000
1956,1402,314650
1956,2604,396046
1958,3623,521721
1950,2816,343046
1953,2368,307538
1958,1014,264819
1966,1572,312750
1966,1252,287426
1960,2110,298642
1951,2793,436348
1963,1523,355238
1959,3504,496620
1960,1410,275142
1977,844,184523
1977,842,182897
1977,846,196281
1960,2080,328388
1948,1116,261369
1949,2310,477154
1977,2666,373800
1991,2254,458172
1999,1630,319956
1999,1750,288684
1996,1449,314070
1975,1008,169839
1952,2354,370825
1957,2488,396720
1942,2176,246985
1964,2478,354933
1959,3468,435672
1901,1524,290871
1994,1529,318478
1919,2977,457513
1964,1972,356712
1965,2190,416970
1961,1458,296202
1968,2072,331080
1964,1381,279675
1967,1392,292465
1971,1418,289025
1969,2576,363120
1969,3101,625848
1972,1040,270165
1957,2982,551483
1974,1119,323148
1975,1555,307771
1976,1465,314672
1986,1704,317744
1981,1578,325740
1981,1152,297540
1990,2136,380461
1993,3253,586332
1967,1424,284576
1967,1630,295959
1959,3056,421681
1967,1120,273155
1973,2560,363968
2002,1045,282013
1945,518,167411
1945,517,159669
1945,517,167805
1901,1282,247950
1939,1194,223740
1940,1292,256961
1920,528,184590
1929,2157,545643
1917,1583,265838
1917,1583,229382
1923,2664,410200
1906,1401,288431
1938,936,256973
1906,2168,271188
1910,1848,325499
2003,1126,379140
2003,1086,320400
2004,867,224595
2004,668,155928
2004,575,188692
2004,871,312553
2004,681,177975
2004,668,178950
2004,681,183823
2004,855,225180
2004,665,171164
2004,548,171313
2004,836,244017
2004,641,184764
2004,830,216621
2004,825,233416
2004,836,249748
2004,825,236830
2004,620,189075
2004,546,224914
2004,641,168175
2004,845,233601
2000,1017,355950
2000,938,333750
2000,621,213004
2000,944,344338
1900,1034,289191
1940,1886,271250
1906,1896,282279
1921,1790,290655
2006,1633,407976
1920,1404,294280
1910,1644,355245
1905,1388,355848
1901,1022,259472
1906,829,208485
1920,1282,371461
1916,1823,344255
1920,2035,389820
1950,2032,341575
1920,2544,395160
1910,2296,322312
1919,1842,379140
1930,1440,215798
1928,1930,329498
1939,2028,388331
1930,1324,211900
1930,440,187230
1935,1068,299040
1999,1100,225965
1999,1100,227850
2004,1574,256432
2004,1556,251248
2004,1556,244883
1999,1469,246114
2002,1556,250138
1999,1011,218700
1999,1011,220710
1997,1040,261345
1937,1916,274469
1901,1896,262636
1900,1560,299839
1927,820,224757
1996,1103,268531
1929,1849,328388
1911,1008,256375
1941,990,248983
1916,2592,408430
1971,1542,333600
1918,2086,355880
1910,1744,352625
1911,1170,259335
1942,720,219560
1942,910,244125
1942,720,172013
1942,820,248091
1942,720,234476
1942,720,222374
1942,1260,256949
1942,720,225610
1942,720,178526
1942,848,235865
1942,720,196830
1942,1820,287037
1942,870,225610
1942,1075,278410
1942,975,244080
1942,720,240818
1960,2184,331080
1942,1400,304790
1942,720,237907
1942,720,198114
1918,1744,259524
1953,960,224084
1994,1040,259578
1942,1962,246120
1993,1247,283770
2004,2049,341575
1998,1653,429098
1994,1266,272194
1944,2436,373105
1977,946,218745
1994,1848,162905
1994,2579,394125
1998,1988,387264
1997,2116,336921
1997,2326,406800
1996,2234,354450
1997,2220,358310
1996,1734,336215
1996,2728,343543
1997,2864,417000
1998,3896,425218
2006,2444,410641
2004,2547,431433
1997,2240,396046
1998,2436,420295
2002,2022,362879
1998,2325,387432
2000,2944,432638
2004,2843,500892
2005,2445,488731
2006,4723,674122
1997,1840,301542
1996,1280,279782
1974,1728,283765
1964,1257,235944
1994,2744,476858
2006,2704,322085
2006,1545,272745
2006,2306,325710
2006,1545,275500
2006,3078,413919
2006,2713,332969
2006,1904,308296
2006,2669,347130
2006,2104,308560
2006,2417,319470
